,goodreads_book_id,tag_id,count,tag_name,original_title,book_id
59,50,1691,934,adventure,Hatchet,388
60,67,14487,682,historical-fiction,The Known World,3504
61,67,24609,310,pulitzer,The Known World,3504
62,67,11743,212,fiction,The Known World,3504
63,93,7457,2886,classics,Heidi,639
64,93,6953,911,childrens,Heidi,639
65,93,11743,858,fiction,Heidi,639
66,98,23005,208,parenting,What to Expect the First Year,7683
67,98,21773,118,nonfiction,What to Expect the First Year,7683
68,98,3739,87,baby,What to Expect the First Year,7683
69,105,26837,1356,science-fiction,Chapterhouse: Dune,2817
70,105,26771,1029,sci-fi,Chapterhouse: Dune,2817
71,105,11743,439,fiction,Chapterhouse: Dune,2817
72,106,11743,1080,fiction,Dune Messiah ,1105
73,106,11305,620,fantasy,Dune Messiah ,1105
74,106,26837,607,science-fiction,Dune Messiah ,1105
75,112,26837,2762,science-fiction,Children of Dune,1262
76,112,26771,2136,sci-fi,Children of Dune,1262
77,112,11743,887,fiction,Children of Dune,1262
78,117,26837,1535,science-fiction,Heretics of Dune,2491
79,117,26771,1151,sci-fi,Heretics of Dune,2491
80,117,11743,501,fiction,Heretics of Dune,2491
81,119,11305,89,fantasy,The Lord of the Rings: The Art of The Fellowship of the Ring,3230
82,119,2938,66,art,The Lord of the Rings: The Art of The Fellowship of the Ring,3230
83,119,30909,47,tolkien,The Lord of the Rings: The Art of The Fellowship of the Ring,3230
84,122,11743,1102,fiction,The Power of One,1597
85,122,14487,465,historical-fiction,The Power of One,1597
86,122,1746,271,africa,The Power of One,1597
87,249,11743,271,fiction,Tropic of Cancer,1999
88,249,7457,226,classics,Tropic of Cancer,1999
89,249,7404,53,classic,Tropic of Cancer,1999
90,250,11743,363,fiction,Tropic of Capricorn,6787
91,250,7457,150,classics,Tropic of Capricorn,6787
92,250,18367,82,literature,Tropic of Capricorn,6787
93,264,7457,2632,classics,The Portrait of a Lady,1783
94,264,11743,1053,fiction,The Portrait of a Lady,1783
95,264,7404,391,classic,The Portrait of a Lady,1783
96,275,11743,656,fiction,L'Amant,4602
97,275,12553,330,french,L'Amant,4602
98,275,7457,262,classics,L'Amant,4602
99,291,23831,63,poetry,الأجنحة المتكسرة,7242
100,291,22034,50,novels,الأجنحة المتكسرة,7242
101,291,18367,38,literature,الأجنحة المتكسرة,7242
102,295,7457,8727,classics,Treasure Island,293
103,295,11743,3299,fiction,Treasure Island,293
104,295,1691,1887,adventure,Treasure Island,293
105,304,7457,830,classics,Daniel Deronda,5915
106,304,11743,349,fiction,Daniel Deronda,5915
107,304,7404,122,classic,Daniel Deronda,5915
108,320,7457,5578,classics,Cien años de soledad,94
109,320,18367,1174,literature,Cien años de soledad,94
110,320,7404,920,classic,Cien años de soledad,94
111,343,11743,2637,fiction,Das Parfum. Die Geschichte eines Mörders,397
112,343,14487,1473,historical-fiction,Das Parfum. Die Geschichte eines Mörders,397
113,343,7457,1307,classics,Das Parfum. Die Geschichte eines Mörders,397
114,348,26837,764,science-fiction,The Door into Summer,6123
115,348,26771,475,sci-fi,The Door into Summer,6123
116,348,11743,204,fiction,The Door into Summer,6123
117,350,26837,4665,science-fiction,Stranger in a Strange Land,371
118,350,26771,3641,sci-fi,Stranger in a Strange Land,371
119,350,11743,2069,fiction,Stranger in a Strange Land,371
120,353,26837,931,science-fiction,Time Enough for Love,4034
121,353,26771,544,sci-fi,Time Enough for Love,4034
122,353,11743,252,fiction,Time Enough for Love,4034
123,355,26837,484,science-fiction,Job: A Comedy of Justice,7904
124,355,26771,326,sci-fi,Job: A Comedy of Justice,7904
125,355,11743,240,fiction,Job: A Comedy of Justice,7904
126,357,11743,1074,fiction,The Long Dark Tea-Time of the Soul,1727
127,357,11305,1018,fantasy,The Long Dark Tea-Time of the Soul,1727
128,357,26837,924,science-fiction,The Long Dark Tea-Time of the Soul,1727
129,359,26837,505,science-fiction,The Salmon of Doubt: Hitchhiking the Galaxy One Last Time,5072
130,359,26771,422,sci-fi,The Salmon of Doubt: Hitchhiking the Galaxy One Last Time,5072
131,359,11305,198,fantasy,The Salmon of Doubt: Hitchhiking the Galaxy One Last Time,5072
132,360,26837,2434,science-fiction,Mostly Harmless,1332
133,360,26771,2060,sci-fi,Mostly Harmless,1332
134,360,11743,1318,fiction,Mostly Harmless,1332
135,365,26837,489,science-fiction,Dirk Gently's Holistic Detective Agency,1042
136,365,11743,452,fiction,Dirk Gently's Holistic Detective Agency,1042
137,365,26771,422,sci-fi,Dirk Gently's Holistic Detective Agency,1042
138,378,11305,2880,fantasy,The Phantom Tollbooth,561
139,378,11743,1777,fiction,The Phantom Tollbooth,561
140,378,6953,1441,childrens,The Phantom Tollbooth,561
141,386,19733,280,memoir,Another Bullshit Night in Suck City: A Memoir,9759
142,386,21689,182,non-fiction,Another Bullshit Night in Suck City: A Memoir,9759
143,386,21773,99,nonfiction,Another Bullshit Night in Suck City: A Memoir,9759
144,400,11743,407,fiction,Libra ,9232
145,400,14487,128,historical-fiction,Libra ,9232
146,400,22034,61,novels,Libra ,9232
147,415,11743,378,fiction,Gravity's Rainbow,3581
148,415,26837,234,science-fiction,Gravity's Rainbow,3581
149,415,14487,168,historical-fiction,Gravity's Rainbow,3581
150,424,21773,482,nonfiction,Slouching Towards Bethlehem: Essays,5146
151,424,21689,246,non-fiction,Slouching Towards Bethlehem: Essays,5146
152,424,10891,188,essays,Slouching Towards Bethlehem: Essays,5146
153,428,7457,123,classics,Play It as It Lays,5315
154,428,22034,71,novels,Play It as It Lays,5315
155,428,240,57,1001-books,Play It as It Lays,5315
156,431,11743,1071,fiction,The New York Trilogy,2337
157,431,20939,301,mystery,The New York Trilogy,2337
158,431,240,180,1001-books,The New York Trilogy,2337
159,432,11743,261,fiction,City of Glass,8588
160,432,20939,126,mystery,City of Glass,8588
161,432,18367,40,literature,City of Glass,8588
162,446,11743,406,fiction,The Brooklyn Follies,5150
163,446,8055,57,contemporary,The Brooklyn Follies,5150
164,446,2277,55,american,The Brooklyn Follies,5150
165,447,11743,284,fiction,Moon Palace,6844
166,447,240,91,1001-books,Moon Palace,6844
167,447,236,55,1001,Moon Palace,6844
168,449,11743,272,fiction,Timbuktu,9905
169,449,240,95,1001-books,Timbuktu,9905
170,449,236,64,1001,Timbuktu,9905
171,456,11743,261,fiction,Leviathan,7462
172,456,2277,42,american,Leviathan,7462
173,456,18367,41,literature,Leviathan,7462
174,475,21689,575,non-fiction,Collapse: How Societies Chose to Fail or Succeed,1969
175,475,14552,560,history,Collapse: How Societies Chose to Fail or Succeed,1969
176,475,21773,230,nonfiction,Collapse: How Societies Chose to Fail or Succeed,1969
177,597,21689,416,non-fiction,Killing Yourself to Live: 85% of a True Story,3598
178,597,20673,304,music,Killing Yourself to Live: 85% of a True Story,3598
179,597,21773,163,nonfiction,Killing Yourself to Live: 85% of a True Story,3598
180,599,21689,1229,non-fiction,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",1392
181,599,21773,544,nonfiction,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",1392
182,599,10891,473,essays,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",1392
183,621,11937,146,finance,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,8934
184,621,21689,115,non-fiction,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,8934
185,621,23339,84,personal-finance,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,8934
186,629,23471,2932,philosophy,Zen and the Art of Motorcycle Maintenance,546
187,629,11743,1374,fiction,Zen and the Art of Motorcycle Maintenance,546
188,629,21689,1196,non-fiction,Zen and the Art of Motorcycle Maintenance,546
189,647,21689,973,non-fiction,No Logo,5120
190,647,23931,417,politics,No Logo,5120
191,647,21773,238,nonfiction,No Logo,5120
192,656,7457,7569,classics,Война и миръ,498
193,656,11743,3173,fiction,Война и миръ,498
194,656,14487,1366,historical-fiction,Война и миръ,498
195,662,11743,4365,fiction,Atlas Shrugged,255
196,662,7457,3165,classics,Atlas Shrugged,255
197,662,23471,1698,philosophy,Atlas Shrugged,255
198,665,23471,537,philosophy,The Virtue of Selfishness: A New Concept of Egoism,8688
199,665,21689,206,non-fiction,The Virtue of Selfishness: A New Concept of Egoism,8688
200,665,21773,71,nonfiction,The Virtue of Selfishness: A New Concept of Egoism,8688
201,667,11743,1934,fiction,Anthem,903
202,667,23471,723,philosophy,Anthem,903
203,667,10059,679,dystopia,Anthem,903
204,668,7457,291,classics,We the Living,4298
205,668,23471,231,philosophy,We the Living,4298
206,668,18367,87,literature,We the Living,4298
207,676,23831,1355,poetry,Sailing Alone Around the Room: New and Selected Poems,8492
208,676,21689,19,non-fiction,Sailing Alone Around the Room: New and Selected Poems,8492
209,676,23816,16,poems,Sailing Alone Around the Room: New and Selected Poems,8492
210,698,11743,454,fiction,Digging to America,6870
211,698,4949,161,book-club,Digging to America,6870
212,698,1629,66,adoption,Digging to America,6870
213,703,11743,431,fiction,The Plot Against America,3560
214,703,14487,371,historical-fiction,The Plot Against America,3560
215,703,2173,203,alternate-history,The Plot Against America,3560
216,706,15048,1583,humor,America (The Book): A Citizen's Guide to Democracy Inaction,1096
217,706,21689,874,non-fiction,America (The Book): A Citizen's Guide to Democracy Inaction,1096
218,706,23931,559,politics,America (The Book): A Citizen's Guide to Democracy Inaction,1096
219,760,11743,812,fiction,Memoria de mis putas tristes,1853
220,760,18367,148,literature,Memoria de mis putas tristes,1853
221,760,7457,143,classics,Memoria de mis putas tristes,1853
222,771,26816,2944,science,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",1224
223,771,23569,741,physics,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",1224
224,771,21773,484,nonfiction,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",1224
225,816,11743,1892,fiction,Cryptonomicon,1142
226,816,26837,1536,science-fiction,Cryptonomicon,1142
227,816,26771,1184,sci-fi,Cryptonomicon,1142
228,822,11743,495,fiction,The Confusion,5306
229,822,14487,457,historical-fiction,The Confusion,5306
230,822,26837,214,science-fiction,The Confusion,5306
231,823,11743,856,fiction,Quicksilver,3314
232,823,14487,806,historical-fiction,Quicksilver,3314
233,823,26837,412,science-fiction,Quicksilver,3314
234,825,11743,369,fiction,Zodiac,7003
235,825,26837,271,science-fiction,Zodiac,7003
236,825,26771,190,sci-fi,Zodiac,7003
237,827,26837,1963,science-fiction,The Diamond Age,1519
238,827,26771,1470,sci-fi,The Diamond Age,1519
239,827,11743,1015,fiction,The Diamond Age,1519
240,830,26837,3911,science-fiction,Snow Crash,442
241,830,26771,3277,sci-fi,Snow Crash,442
242,830,11743,2190,fiction,Snow Crash,442
243,840,9318,615,design,The Psychology of Everyday Things,6937
244,840,21689,328,non-fiction,The Psychology of Everyday Things,6937
245,840,31678,142,ux,The Psychology of Everyday Things,6937
246,865,11743,9712,fiction,O Alquimista,35
247,865,7457,3089,classics,O Alquimista,35
248,865,11305,2297,fantasy,O Alquimista,35
249,870,19052,381,manga,鋼の錬金術師 1,893
250,870,13561,311,graphic-novels,鋼の錬金術師 1,893
251,870,13547,141,graphic-novel,鋼の錬金術師 1,893
252,880,14487,1215,historical-fiction,Pompeii,4268
253,880,11743,532,fiction,Pompeii,4268
254,880,14467,247,historical,Pompeii,4268
255,890,7457,19214,classics,Of Mice and Men ,32
256,890,11743,9439,fiction,Of Mice and Men ,32
257,890,7404,3446,classic,Of Mice and Men ,32
258,900,21689,418,non-fiction,The Game,4908
259,900,24526,142,psychology,The Game,4908
260,900,21773,94,nonfiction,The Game,4908
261,902,20939,2666,mystery,The Westing Game,857
262,902,33114,1416,young-adult,The Westing Game,857
263,902,11743,1173,fiction,The Westing Game,857
264,903,11743,280,fiction,The Egypt Game,4937
265,903,33114,261,young-adult,The Egypt Game,4937
266,903,6953,253,childrens,The Egypt Game,4937
267,930,11743,8127,fiction,Memoirs of a Geisha,33
268,930,14487,7195,historical-fiction,Memoirs of a Geisha,33
269,930,26138,1785,romance,Memoirs of a Geisha,33
270,952,23005,250,parenting,The Five Love Languages of Children,7994
271,952,21689,98,non-fiction,The Five Love Languages of Children,7994
272,952,7077,61,christian,The Five Love Languages of Children,7994
273,960,11743,9364,fiction,Angels & Demons ,9
274,960,20939,5740,mystery,Angels & Demons ,9
275,960,30358,4563,thriller,Angels & Demons ,9
276,968,11743,13725,fiction,The Da Vinci Code,26
277,968,30358,5358,thriller,The Da Vinci Code,26
278,968,8865,2013,dan-brown,The Da Vinci Code,26
279,976,11743,3201,fiction,Deception Point,145
280,976,30358,2273,thriller,Deception Point,145
281,976,20939,1594,mystery,Deception Point,145
282,998,21689,602,non-fiction,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,2318
283,998,11937,536,finance,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,2318
284,998,5951,513,business,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,2318
285,1005,23334,376,personal-development,Think and Grow Rich,680
286,1005,11937,279,finance,Think and Grow Rich,680
287,1005,21773,153,nonfiction,Think and Grow Rich,680
288,1032,5951,222,business,Trump: The Art of the Deal,9670
289,1032,21689,94,non-fiction,Trump: The Art of the Deal,9670
290,1032,4605,89,biography,Trump: The Art of the Deal,9670
291,1067,14552,4413,history,1776,687
292,1067,21689,1886,non-fiction,1776,687
293,1067,21773,806,nonfiction,1776,687
294,1078,7009,694,china,The Good Earth,461
295,1078,4949,421,book-club,The Good Earth,461
296,1078,18367,349,literature,The Good Earth,461
297,1097,21689,3640,non-fiction,Fast Food Nation : The Dark Side of the All-American Meal ,398
298,1097,21773,1548,nonfiction,Fast Food Nation : The Dark Side of the All-American Meal ,398
299,1097,12175,1229,food,Fast Food Nation : The Dark Side of the All-American Meal ,398
300,1103,14487,3432,historical-fiction,Snow Flower and the Secret Fan,273
301,1103,11743,2442,fiction,Snow Flower and the Secret Fan,273
302,1103,4949,1526,book-club,Snow Flower and the Secret Fan,273
303,1110,16518,683,john-grisham,The Broker,1301
304,1110,30358,375,thriller,The Broker,1301
305,1110,20939,300,mystery,The Broker,1301
306,1171,5951,280,business,Liar's Poker: Rising Through the Wreckage on Wall Street,1683
307,1171,11937,243,finance,Liar's Poker: Rising Through the Wreckage on Wall Street,1683
308,1171,21689,238,non-fiction,Liar's Poker: Rising Through the Wreckage on Wall Street,1683
309,1191,8150,335,cookbooks,Giada's Family Dinners,7385
310,1191,8209,110,cooking,Giada's Family Dinners,7385
311,1191,12175,39,food,Giada's Family Dinners,7385
312,1192,8150,622,cookbooks,Everyday Italian: 125 Simple and Delicious Recipes,2744
313,1192,8209,233,cooking,Everyday Italian: 125 Simple and Delicious Recipes,2744
314,1192,12175,90,food,Everyday Italian: 125 Simple and Delicious Recipes,2744
315,1202,21773,2959,nonfiction,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,92
316,1202,26816,878,science,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,92
317,1202,21689,623,non-fiction,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,92
318,1232,11743,4560,fiction,La sombra del viento,258
319,1232,14487,2973,historical-fiction,La sombra del viento,258
320,1232,20939,2613,mystery,La sombra del viento,258
321,1241,21689,717,non-fiction,A Million Little Pieces,383
322,1241,4605,282,biography,A Million Little Pieces,383
323,1241,4949,256,book-club,A Million Little Pieces,383
324,1274,21689,1038,non-fiction,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",573
325,1274,27095,736,self-help,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",573
326,1274,24526,542,psychology,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",573
327,1295,14487,463,historical-fiction,The Clan of the Cave Bear,496
328,1295,27199,330,series,The Clan of the Cave Bear,496
329,1295,11743,314,fiction,The Clan of the Cave Bear,496
330,1301,21689,397,non-fiction,Moneyball: The Art of Winning an Unfair Game,1154
331,1301,28422,349,sports,Moneyball: The Art of Winning an Unfair Game,1154
332,1301,21773,201,nonfiction,Moneyball: The Art of Winning an Unfair Game,1154
333,1303,21689,591,non-fiction,The 48 Laws of Power,2474
334,1303,5951,485,business,The 48 Laws of Power,2474
335,1303,24526,397,psychology,The 48 Laws of Power,2474
336,1305,11743,488,fiction,Gates of Fire: An Epic Novel of the Battle of Thermopylae,4731
337,1305,14487,450,historical-fiction,Gates of Fire: An Epic Novel of the Battle of Thermopylae,4731
338,1305,14552,269,history,Gates of Fire: An Epic Novel of the Battle of Thermopylae,4731
339,1307,11305,251,fantasy,Fire Sea,7274
340,1307,9221,90,default,Fire Sea,7274
341,1307,11743,87,fiction,Fire Sea,7274
342,1319,32865,636,writing,The War of Art: Break Through the Blocks and Win Your Inner Creative Battles,2867
343,1319,27095,366,self-help,The War of Art: Break Through the Blocks and Win Your Inner Creative Battles,2867
344,1319,21773,337,nonfiction,The War of Art: Break Through the Blocks and Win Your Inner Creative Battles,2867
345,1362,14552,1900,history,Ἰστορίαι,3404
346,1362,7457,911,classics,Ἰστορίαι,3404
347,1362,21689,514,non-fiction,Ἰστορίαι,3404
348,1371,7457,8814,classics,Ἰλιάς,341
349,1371,23831,2823,poetry,Ἰλιάς,341
350,1371,11743,2132,fiction,Ἰλιάς,341
351,1375,7457,1055,classics,Ἰλιάς ; Ὀδύσσεια,2142
352,1375,11743,281,fiction,Ἰλιάς ; Ὀδύσσεια,2142
353,1375,23831,247,poetry,Ἰλιάς ; Ὀδύσσεια,2142
354,1381,7457,14238,classics,Ὀδύσσεια,79
355,1381,11743,3670,fiction,Ὀδύσσεια,79
356,1381,23831,3418,poetry,Ὀδύσσεια,79
357,1420,7457,13787,classics,"The Tragicall Historie of Hamlet, Prince of Denmark",125
358,1420,23743,6984,plays,"The Tragicall Historie of Hamlet, Prince of Denmark",125
359,1420,11743,3145,fiction,"The Tragicall Historie of Hamlet, Prince of Denmark",125
360,1426,23471,128,philosophy,Manual do guerreiro da luz,4160
361,1426,28384,97,spirituality,Manual do guerreiro da luz,4160
362,1426,28341,75,spiritual,Manual do guerreiro da luz,4160
363,1427,11743,146,fiction,O Zahir,1506
364,1427,23471,121,philosophy,O Zahir,1506
365,1427,22034,117,novels,O Zahir,1506
366,1428,11743,644,fiction,Na margem do rio Piedra eu sentei e chorei,1206
367,1428,23150,370,paulo-coelho,Na margem do rio Piedra eu sentei e chorei,1206
368,1428,26138,183,romance,Na margem do rio Piedra eu sentei e chorei,1206
369,1430,11743,877,fiction,Onze minutos,708
370,1430,23150,507,paulo-coelho,Onze minutos,708
371,1430,26138,248,romance,Onze minutos,708
372,1431,22034,233,novels,Veronika decide morrer,629
373,1431,21989,195,novel,Veronika decide morrer,629
374,1431,236,151,1001,Veronika decide morrer,629
375,1519,7457,1077,classics,Ὀρέστεια,4149
376,1519,23743,736,plays,Ὀρέστεια,4149
377,1519,9886,435,drama,Ὀρέστεια,4149
378,1524,7457,335,classics,Ἀγαμέμνων,9281
379,1524,23743,270,plays,Ἀγαμέμνων,9281
380,1524,9886,124,drama,Ἀγαμέμνων,9281
381,1554,9886,823,drama,Οἰδίπους Τύραννος,824
382,1554,11743,716,fiction,Οἰδίπους Τύραννος,824
383,1554,26735,609,school,Οἰδίπους Τύραννος,824
384,1591,7563,410,clàssics,Λυσιστράτη,4537
385,1591,9886,283,drama,Λυσιστράτη,4537
386,1591,11743,194,fiction,Λυσιστράτη,4537
387,1617,21689,5705,non-fiction,Un di Velt Hot Geshvign,87
388,1617,7457,3905,classics,Un di Velt Hot Geshvign,87
389,1617,14552,2936,history,Un di Velt Hot Geshvign,87
390,1618,11743,1099,fiction,The Curious Incident of the Dog in the Night-Time,60
391,1618,33114,380,young-adult,The Curious Incident of the Dog in the Night-Time,60
392,1618,7457,236,classics,The Curious Incident of the Dog in the Night-Time,60
393,1622,7457,9438,classics,A Midsummer Night's Dream,248
394,1622,23743,5185,plays,A Midsummer Night's Dream,248
395,1622,27438,2397,shakespeare,A Midsummer Night's Dream,248
396,1624,21689,501,non-fiction,West with the Night,4691
397,1624,19733,381,memoir,West with the Night,4691
398,1624,4605,315,biography,West with the Night,4691
399,1625,7457,4199,classics,"Twelfth Night; or, What You Will",855
400,1625,23743,2926,plays,"Twelfth Night; or, What You Will",855
401,1625,27438,1555,shakespeare,"Twelfth Night; or, What You Will",855
402,1627,11743,663,fiction,Brokeback Mountain,6066
403,1627,27669,400,short-stories,Brokeback Mountain,6066
404,1627,26138,303,romance,Brokeback Mountain,6066
405,1633,17780,138,leadership,Getting Things Done: How To Achieve Stress-free Productivity,1078
406,1633,21689,124,non-fiction,Getting Things Done: How To Achieve Stress-free Productivity,1078
407,1633,24401,112,productivity,Getting Things Done: How To Achieve Stress-free Productivity,1078
408,1715,23831,1226,poetry,Metamorphoses,2366
409,1715,21024,583,mythology,Metamorphoses,2366
410,1715,11743,419,fiction,Metamorphoses,2366
411,1823,21689,637,non-fiction,Them: Adventures with Extremists,8930
412,1823,21773,218,nonfiction,Them: Adventures with Extremists,8930
413,1823,23931,113,politics,Them: Adventures with Extremists,8930
414,1824,21689,586,non-fiction,The Men Who Stare at Goats,9949
415,1824,21773,184,nonfiction,The Men Who Stare at Goats,9949
416,1824,14552,146,history,The Men Who Stare at Goats,9949
417,1842,14552,1703,history,"Guns, Germs, and Steel: The Fates of Human Societies",408
418,1842,21689,1444,non-fiction,"Guns, Germs, and Steel: The Fates of Human Societies",408
419,1842,21773,575,nonfiction,"Guns, Germs, and Steel: The Fates of Human Societies",408
420,1845,21689,6361,non-fiction,Into the Wild,82
421,1845,21773,2370,nonfiction,Into the Wild,82
422,1845,4605,1907,biography,Into the Wild,82
423,1848,4605,709,biography,Wild Swans: Three Daughters of China,1487
424,1848,21689,520,non-fiction,Wild Swans: Three Daughters of China,1487
425,1848,21773,373,nonfiction,Wild Swans: Three Daughters of China,1487
426,1849,11743,223,fiction,Wild Fire,5013
427,1849,21317,130,nelson-demille,Wild Fire,5013
428,1849,20939,106,mystery,Wild Fire,5013
429,1852,7457,5666,classics,The Call of the Wild,375
430,1852,11743,2967,fiction,The Call of the Wild,375
431,1852,7404,1081,classic,The Call of the Wild,375
432,1869,21689,312,non-fiction,Nickel and Dimed: On (Not) Getting By in America,508
433,1869,21773,216,nonfiction,Nickel and Dimed: On (Not) Getting By in America,508
434,1869,28052,144,sociology,Nickel and Dimed: On (Not) Getting By in America,508
435,1875,21689,423,non-fiction,Histoire de la sexualité 1. La Volonté de savoir,6820
436,1875,30258,234,theory,Histoire de la sexualité 1. La Volonté de savoir,6820
437,1875,21773,177,nonfiction,Histoire de la sexualité 1. La Volonté de savoir,6820
438,1885,7457,35772,classics,Pride and Prejudice,10
439,1885,11743,11000,fiction,Pride and Prejudice,10
440,1885,26138,8756,romance,Pride and Prejudice,10
441,1897,21689,319,non-fiction,Eiger Dreams: Ventures Among Men and Mountains,6251
442,1897,1691,169,adventure,Eiger Dreams: Ventures Among Men and Mountains,6251
443,1897,20539,106,mountaineering,Eiger Dreams: Ventures Among Men and Mountains,6251
444,1898,21689,1345,non-fiction,Into Thin Air: A Personal Account of the Mt. Everest Disaster,236
445,1898,21773,547,nonfiction,Into Thin Air: A Personal Account of the Mt. Everest Disaster,236
446,1898,1691,312,adventure,Into Thin Air: A Personal Account of the Mt. Everest Disaster,236
447,1911,21689,1572,non-fiction,The World Is Flat: A Brief History of the Twenty-first Century,969
448,1911,14552,687,history,The World Is Flat: A Brief History of the Twenty-first Century,969
449,1911,5951,577,business,The World Is Flat: A Brief History of the Twenty-first Century,969
450,1934,7457,20533,classics,Little Women,42
451,1934,11743,5990,fiction,Little Women,42
452,1934,7404,3765,classic,Little Women,42
453,1953,7457,16170,classics,A Tale of Two Cities,83
454,1953,11743,5394,fiction,A Tale of Two Cities,83
