,goodreads_book_id,original_title,book_id,tag_concat
64,629,Zen and the Art of Motorcycle Maintenance,546,philosophy fiction non-fiction classics nonfiction
65,647,No Logo,5120,non-fiction politics nonfiction economics sociology
66,656,Война и миръ,498,classics fiction historical-fiction classic russian
67,662,Atlas Shrugged,255,fiction classics philosophy classic literature
68,665,The Virtue of Selfishness: A New Concept of Egoism,8688,philosophy non-fiction nonfiction politics fiction
69,667,Anthem,903,fiction philosophy dystopia dystopian science-fiction
70,668,We the Living,4298,classics philosophy literature historical-fiction ayn-rand
71,676,Sailing Alone Around the Room: New and Selected Poems,8492,poetry non-fiction poems library american
72,698,Digging to America,6870,fiction book-club adoption contemporary contemporary-fiction
73,703,The Plot Against America,3560,fiction historical-fiction alternate-history 1001-books literature
74,706,America (The Book): A Citizen's Guide to Democracy Inaction,1096,humor non-fiction politics nonfiction comedy
75,760,Memoria de mis putas tristes,1853,fiction literature classics romance magical-realism
76,771,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",1224,science physics nonfiction astronomy popular-science
77,816,Cryptonomicon,1142,fiction science-fiction sci-fi historical-fiction scifi
78,822,The Confusion,5306,fiction historical-fiction science-fiction fantasy historical
79,823,Quicksilver,3314,fiction historical-fiction science-fiction fantasy sci-fi
80,825,Zodiac,7003,fiction science-fiction sci-fi thriller scifi
81,827,The Diamond Age,1519,science-fiction sci-fi fiction cyberpunk scifi
82,830,Snow Crash,442,science-fiction sci-fi fiction cyberpunk scifi
83,840,The Psychology of Everyday Things,6937,design non-fiction ux nonfiction business
84,865,O Alquimista,35,fiction classics fantasy philosophy book-club
85,870,鋼の錬金術師 1,893,manga graphic-novels graphic-novel fiction science-fiction
86,880,Pompeii,4268,historical-fiction fiction historical history italy
87,890,Of Mice and Men ,32,classics fiction classic school literature
88,900,The Game,4908,non-fiction psychology nonfiction biography self-help
89,902,The Westing Game,857,mystery young-adult fiction ya childrens
90,903,The Egypt Game,4937,fiction young-adult childrens mystery children-s
91,930,Memoirs of a Geisha,33,fiction historical-fiction romance historical japan
92,952,The Five Love Languages of Children,7994,parenting non-fiction christian nonfiction relationships
93,960,Angels & Demons ,9,fiction mystery thriller dan-brown suspense
94,968,The Da Vinci Code,26,fiction thriller dan-brown suspense historical-fiction
95,976,Deception Point,145,fiction thriller mystery dan-brown suspense
96,998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,2318,non-fiction finance business personal-finance nonfiction
97,1005,Think and Grow Rich,680,personal-development finance nonfiction self-development self-help
98,1032,Trump: The Art of the Deal,9670,business non-fiction biography nonfiction politics
99,1052,0,1684,business finance non-fiction self-help personal-finance
100,1067,1776,687,history non-fiction nonfiction american-history historical
101,1078,The Good Earth,461,china book-club literature pulitzer asia
102,1097,Fast Food Nation : The Dark Side of the All-American Meal ,398,non-fiction nonfiction food health sociology
103,1103,Snow Flower and the Secret Fan,273,historical-fiction fiction book-club china historical
104,1110,The Broker,1301,john-grisham thriller mystery grisham default
105,1171,Liar's Poker: Rising Through the Wreckage on Wall Street,1683,business finance non-fiction history economics
106,1191,Giada's Family Dinners,7385,cookbooks cooking food cookbook non-fiction
107,1192,Everyday Italian: 125 Simple and Delicious Recipes,2744,cookbooks cooking food cookbook non-fiction
108,1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,92,nonfiction science non-fiction psychology sociology
109,1232,La sombra del viento,258,fiction historical-fiction mystery book-club fantasy
110,1241,A Million Little Pieces,383,non-fiction biography book-club fiction memoir
111,1274,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",573,non-fiction self-help psychology relationships nonfiction
112,1295,The Clan of the Cave Bear,496,historical-fiction series fiction romance classics
113,1301,Moneyball: The Art of Winning an Unfair Game,1154,non-fiction sports nonfiction baseball sport
114,1303,The 48 Laws of Power,2474,non-fiction business psychology philosophy self-help
115,1305,Gates of Fire: An Epic Novel of the Battle of Thermopylae,4731,fiction historical-fiction history historical military
116,1307,Fire Sea,7274,fantasy default fiction sci-fi-fantasy epic-fantasy
117,1319,The War of Art: Break Through the Blocks and Win Your Inner Creative Battles,2867,writing self-help nonfiction creativity art
118,1362,Ἰστορίαι,3404,history classics non-fiction ancient-history nonfiction
119,1371,Ἰλιάς,341,classics poetry fiction classic mythology
120,1375,Ἰλιάς ; Ὀδύσσεια,2142,classics fiction poetry classic mythology
121,1381,Ὀδύσσεια,79,classics fiction poetry classic mythology
122,1420,"The Tragicall Historie of Hamlet, Prince of Denmark",125,classics plays fiction shakespeare drama
123,1426,Manual do guerreiro da luz,4160,philosophy spirituality spiritual self-help inspirational
124,1427,O Zahir,1506,fiction philosophy novels novel spirituality
125,1428,Na margem do rio Piedra eu sentei e chorei,1206,fiction paulo-coelho romance philosophy novels
126,1430,Onze minutos,708,fiction paulo-coelho romance novels contemporary
127,1431,Veronika decide morrer,629,novels novel 1001 psychology romance
128,1519,Ὀρέστεια,4149,classics plays drama fiction mythology
129,1524,Ἀγαμέμνων,9281,classics plays drama fiction mythology
130,1540,0,2052,classics plays drama fiction school
131,1554,Οἰδίπους Τύραννος,824,drama fiction school play read-for-school
132,1591,Λυσιστράτη,4537,clàssics drama fiction classic play
133,1617,Un di Velt Hot Geshvign,87,non-fiction classics history nonfiction school
134,1618,The Curious Incident of the Dog in the Night-Time,60,fiction young-adult classics audio book-club
135,1622,A Midsummer Night's Dream,248,classics plays shakespeare fiction drama
136,1624,West with the Night,4691,non-fiction memoir biography africa nonfiction
137,1625,"Twelfth Night; or, What You Will",855,classics plays shakespeare drama fiction
138,1627,Brokeback Mountain,6066,fiction short-stories romance lgbt lgbtq
139,1633,Getting Things Done: How To Achieve Stress-free Productivity,1078,leadership non-fiction productivity business nonfiction
140,1635,0,4823,business leadership management productivity non-fiction
141,1715,Metamorphoses,2366,poetry mythology fiction classic literature
142,1823,Them: Adventures with Extremists,8930,non-fiction nonfiction politics humor journalism
143,1824,The Men Who Stare at Goats,9949,non-fiction nonfiction history politics military
144,1842,"Guns, Germs, and Steel: The Fates of Human Societies",408,history non-fiction nonfiction science anthropology
145,1845,Into the Wild,82,non-fiction nonfiction biography adventure travel
146,1846,0,1625,christian non-fiction christianity christian-living religion
147,1848,Wild Swans: Three Daughters of China,1487,biography non-fiction nonfiction history china
148,1849,Wild Fire,5013,fiction nelson-demille mystery suspense default
149,1852,The Call of the Wild,375,classics fiction classic adventure young-adult
150,1869,Nickel and Dimed: On (Not) Getting By in America,508,non-fiction nonfiction sociology poverty social-issues
151,1875,Histoire de la sexualité 1. La Volonté de savoir,6820,non-fiction theory nonfiction sexuality sociology
152,1885,Pride and Prejudice,10,classics fiction romance classic historical-fiction
153,1897,Eiger Dreams: Ventures Among Men and Mountains,6251,non-fiction adventure mountaineering nonfiction travel
154,1898,Into Thin Air: A Personal Account of the Mt. Everest Disaster,236,non-fiction nonfiction adventure memoir travel
155,1911,The World Is Flat: A Brief History of the Twenty-first Century,969,non-fiction history business economics nonfiction
156,1934,Little Women,42,classics fiction classic young-adult historical-fiction
157,1953,A Tale of Two Cities,83,classics fiction classic historical-fiction literature
158,1990,The Life and Adventures of Martin Chuzzlewit,8357,classics fiction dickens classic 1001-books
159,2002,0,9048,fantasy harry-potter fiction young-adult ya
160,2049,The High Window,8850,mystery fiction crime noir detective
161,2050,"Farewell, My Lovely",4444,mystery noir classics detective 1001-books
162,2052,The Big Sleep,1160,noir 1001-books classic thriller mystery-thriller
163,2054,The Long Goodbye,4443,mystery fiction crime classics detective
164,2067,Breaking the Spell: Religion as a Natural Phenomenon,8915,philosophy religion non-fiction science atheism
165,2068,Darwin's Dangerous Idea: Evolution and the Meanings of Life,8375,science philosophy non-fiction evolution biology
166,2094,A Briefer History of Time,4119,non-fiction nonfiction science history astronomy
167,2095,The Universe in a Nutshell,3696,physics science non-fiction nonfiction astronomy
168,2122,The Fountainhead,287,fiction classics philosophy literature classic
169,2137,A Home at the End of the World,6889,fiction lgbt 1001-books gay glbt
170,2142,Blink,6961,christian-fiction suspense fiction adventure romance
171,2152,The Jane Austen Book Club,2136,fiction chick-lit romance book-club contemporary
172,2156,Persuasion,230,classics fiction romance classic jane-austen
173,2159,Confessions of an Economic Hit Man,3123,non-fiction economics politics history nonfiction
174,2165,The Old Man and the Sea,130,classics fiction classic literature novels
175,2175,Madame Bovary,560,classics fiction classic french literature
176,2183,L'Éducation sentimentale,7952,fiction france 19th-century classic 1001-books
177,2187,Middlesex,115,fiction book-club historical-fiction contemporary pulitzer
178,2199,Team of Rivals: The Political Genius of Abraham Lincoln,870,history non-fiction biography nonfiction politics
179,2203,John Adams,366,history biography non-fiction nonfiction american-history
180,2255,Way of the Peaceful Warrior: A Book That Changes Lives,2439,spirituality fiction spiritual philosophy self-help
181,2265,It's Not About the Bike: My Journey Back to Life,2650,cycling autobiography sports non-fiction biography
182,2279,Truman,2174,history biography presidents nonfiction biographies
183,2368,Mornings on Horseback,5180,biography history non-fiction nonfiction american-history
184,2371,The Johnstown Flood,7738,history nonfiction non-fiction american-history audiobook
185,2372,"The Path Between the Seas: The Creation of the Panama Canal, 1870-1914",8721,non-fiction history nonfiction american-history historical
186,2373,The Bone Collector,726,mystery thriller crime fiction series
187,2430,The List,7645,fiction mystery steve-martini thriller default
188,2442,Witches Abroad,2489,fantasy discworld humor fiction terry-pratchett
189,2493,The Time Machine,298,classics science-fiction sci-fi fiction classic
190,2517,Benim Adım Kırmızı,3048,fiction historical-fiction mystery turkey literature
191,2526,Ensaio Sobre a Cegueira,653,fiction dystopia science-fiction dystopian book-club
192,2528,Todos os Nomes,7651,fiction portugal portuguese novels saramago
193,2530,Memorial do Convento,8532,fiction historical-fiction portuguese classics portugal
194,2547,The Prophet,489,poetry philosophy classics fiction spirituality
195,2612,The Tipping Point: How Little Things Can Make a Big Difference,127,non-fiction nonfiction business psychology sociology
196,2615,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business (Collins Business Essentials),3661,business non-fiction innovation entrepreneurship management
197,2623,Great Expectations,160,classics fiction classic literature historical-fiction
198,2657,To Kill a Mockingbird,4,classics classic historical-fiction school clàssics
199,2666,The Bonfire of the Vanities,1739,fiction classics 1001-books literature novels
200,2677,A Modest Proposal and Other Satirical Works,8906,fiction humor satire classic non-fiction
201,2696,Tales of Caunterbury,646,poetry classic school short-stories historical-fiction
202,2715,Salt: A World History,2498,history non-fiction nonfiction food science
203,2743,0,1897,non-fiction biography memoir nonfiction autobiography
204,2744,Anansi Boys,666,fantasy fiction urban-fantasy mythology neil-gaiman
205,2748,Microserfs,4510,fiction humor contemporary canadian novels
206,2767,A People's History of the United States: 1492 to Present ,663,history non-fiction nonfiction politics american-history
207,2784,Ways of Seeing,462,non-fiction philosophy nonfiction art essays
208,2794,The Crying of Lot 49,1797,fiction classics literature american novels
209,2839,Bridge to Terabithia,245,young-adult fiction childrens fantasy classics
210,2865,Girl with a Pearl Earring,148,historical-fiction fiction historical art classics
211,2872,Falling Angels,6299,historical-fiction historical england book-club adult-fiction
212,2873,The Virgin Blue,4842,historical-fiction fiction historical france art
213,2879,Bleach―ブリーチ― 15,5523,manga bleach graphic-novels mangas fantasy
214,2880,BLEACH―ブリーチ―　1,720,manga fantasy graphic-novels comics bleach
215,2915,The River,6755,young-adult fiction adventure survival series
216,2932,"The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner",478,classics fiction classic adventure literature
217,2956,The Adventures of Huckleberry Finn,58,classics fiction classic historical-fiction literature
218,2978,Lost Horizon,8838,classic literature novels travel historical-fiction
219,2998,The Secret Garden,93,classics fiction childrens classic children
220,3008,A Little Princess,540,classics fiction childrens classic children
221,3028,Economics in One Lesson,9732,economics non-fiction politics business nonfiction
222,3049,Gawayn and þe Grene Knyȝt,3022,classics poetry fantasy fiction medieval
223,3061,The Natural Way to Draw,3499,art drawing non-fiction art-books nonfiction
224,3087,A Room with a View,829,classics fiction romance classic literature
225,3102,Howards End,1949,fiction literature 1001-books british historical-fiction
226,3103,Maurice,6128,classics fiction lgbt romance lgbtq
227,3109,The Omnivore's Dilemma,550,non-fiction food nonfiction science health
228,3110,Assassination Vacation,2897,nonfiction non-fiction history travel essays
229,3273,Moloka'i,1216,historical-fiction book-club fiction historical hawaii
230,3291,Cuentos de Eva Luna,8295,fiction short-stories magical-realism isabel-allende latin-america
231,3300,Inés del alma mía,5774,historical-fiction fiction chile historical latin-america
232,3304,La ciudad de las bestias,5045,fantasy young-adult fiction ya adventure
233,3368,Don't Make Me Think! A common sense approach to web usability,6487,design ux non-fiction programming usability
234,3378,Generation X: Tales for an Accelerated Culture,4238,fiction contemporary canadian novels literature
235,3379,All Families Are Psychotic,7749,fiction canadian contemporary novels humor
236,3381,Hey Nostradamus!,5808,fiction canadian contemporary novels canada
237,3384,Girlfriend in a Coma,5948,fiction canadian contemporary science-fiction novels
238,3388,Captain Corelli's Mandolin,1458,war greece book-club contemporary novels
239,3412,The Thorn Birds,311,historical-romance fiction historical-fiction adult romance
240,3431,The Five People You Meet in Heaven,132,spiritual fiction contemporary-fiction rory-gilmore-reading-challenge christian
241,3446,Going After Cacciato,9743,fiction war historical-fiction vietnam literature
242,3447,In the Lake of the Woods,7155,fiction mystery book-club war historical-fiction
243,3462,The Rescue,552,nicholas-sparks romance fiction chick-lit contemporary
244,3463,A Bend in the Road,683,nicholas-sparks romance fiction chick-lit contemporary
245,3464,True Believer,1414,romance fiction chick-lit contemporary default
246,3465,Three Weeks with My Brother,3119,nicholas-sparks non-fiction memoir nonfiction biography
247,3466,The Wedding,686,romance nicholas-sparks fiction chick-lit contemporary
248,3467,The People of Sparks,3084,young-adult dystopian fantasy fiction dystopia
249,3473,A Walk to Remember,107,adult drama adult-fiction love realistic-fiction
250,3476,Icy Sparks,2820,fiction oprah-s-book-club oprah book-club oprah-book-club
251,3478,Message in a Bottle,420,romance nicholas-sparks fiction chick-lit contemporary
252,3483,Special Topics in Calamity Physics,2914,fiction mystery contemporary book-club novels
253,3507,Twelve Sharp,1627,mystery janet-evanovich fiction humor series
254,3559,From Beirut to Jerusalem,9946,history non-fiction middle-east politics nonfiction
255,3562,Emily of New Moon,4014,classics young-adult fiction childrens historical-fiction
256,3579,The Complete Anne of Green Gables Boxed Set,958,children ya children-s-books childhood series
257,3581,"Sherlock Holmes: The Complete Novels and Stories, Volume I",5508,classics mystery fiction classic short-stories
258,3586,"Sherlock Holmes: The Complete Novels and Stories, Vol 2",1320,classics mystery fiction classic short-stories
259,3590,The Adventures of Sherlock Holmes,514,classics mystery fiction short-stories classic
260,3636,The Giver,36,children fiction classics school-books teen
261,3648,The Emperor's Children,4614,fiction book-club contemporary-fiction novels abandoned
262,3656,The Sea,5556,fiction 1001-books booker-prize ireland 1001
263,3679,On Beauty,1928,fiction contemporary 1001-books book-club novels
264,3682,A Great and Terrible Beauty,586,fantasy young-adult historical paranormal historical-fiction
265,3685,Black Beauty,497,classics fiction childrens classic animals
266,3686,Truth & Beauty: A Friendship,3588,non-fiction nonfiction memoir memoirs biography
267,3690,The Power and the Glory,4605,fiction classics literature historical-fiction 1001-books
268,3692,The Heart of the Matter,4983,classics africa literature fiction 1001-books
269,3698,The Quiet American,3106,fiction classics historical-fiction war vietnam
270,3710,The Autograph Man,9579,fiction novels contemporary literary-fiction literature
271,3711,White Teeth,1005,fiction contemporary novels book-club british
272,3717,Stranger Than Fiction: True Stories,4369,essays chuck-palahniuk palahniuk fiction default
273,3750,Moonraker,7427,fiction james-bond thriller spy espionage
274,3757,Dr. No,8334,fiction james-bond thriller espionage spy
275,3758,Casino Royale,2506,fiction thriller james-bond mystery spy
276,3759,Goldfinger,7089,fiction james-bond thriller spy espionage
277,3760,Diamonds are Forever,8837,fiction james-bond thriller espionage spy
278,3762,On Her Majesty's Secret Service,8864,fiction james-bond thriller espionage spy
279,3763,Live and Let Die,6223,fiction thriller james-bond spy espionage
280,3764,"From Russia, with Love",4560,fiction thriller james-bond espionage spy
281,3805,The Corrections,658,fiction contemporary book-club novels contemporary-fiction
282,3832,Cover Her Face,4586,mystery fiction mysteries crime series
283,3836,Don Quijote de La Mancha,597,classics fiction literature spanish adventure
284,3858,Holy Cow: An Indian Adventure,6351,travel india non-fiction memoir nonfiction
285,3867,The History of Love,867,fiction book-club historical-fiction romance contemporary-fiction
286,3869,A Brief History of Time: From the Big Bang to Black Holes,439,science non-fiction nonfiction physics history
287,3872,A History of the World in 6 Glasses,8433,non-fiction history nonfiction food book-club
288,3873,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",2727,religion history non-fiction nonfiction philosophy
289,3876,The Sun Also Rises,264,classics fiction classic literature novels
290,3882,Rachael Ray 365: No Repeats--A Year of Deliciously Different Dinners (A 30-Minute Meal Cookbook),4136,cookbooks cooking food cookbook cook-books
291,3885,The Taste of Home Cookbook,6663,cookbooks cooking cookbook cook-books non-fiction
292,3888,The America's Test Kitchen Family Cookbook,7894,cookbooks cooking food non-fiction cookbook
293,3895,The Barefoot Contessa Cookbook,4035,cookbooks cooking food cookbook non-fiction
294,3972,Olympos,8432,science-fiction sci-fi fiction fantasy scifi
295,3973,Ilium,5332,fantasy sf science-fiction sci-fi-fantasy sci-fi
296,3974,The Terror,4885,horror historical-fiction fiction fantasy historical
297,3977,Endymion,3247,science-fiction sci-fi fiction scifi space-opera
298,3980,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,793,fiction childrens young-adult children children-s
299,3985,The Amazing Adventures of Kavalier & Clay,516,fiction historical-fiction pulitzer book-club literature
300,4004,O Diário de um Mago,2521,fiction paulo-coelho philosophy spiritual spirituality
301,4005,O Monte Cinco,2902,fiction novel novels historical-fiction spiritual
302,4006,As Valkírias,5318,fiction paulo-coelho spirituality philosophy spiritual
303,4008,O Demônio e a Srta. Prym,1835,paulo-coelho 1001-books philosophy novels 1001
304,4009,Nine Stories,709,american-literature short-story-collections 20th-century stories to-buy
305,4031,Lunar Park,5128,fiction horror thriller novels contemporary
306,4035,The Burden of Proof,3240,fiction mystery legal-thriller thriller scott-turow
307,4069,…trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager,472,non-fiction psychology philosophy nonfiction history
308,4076,In Search of Excellence,8179,business non-fiction business-books leadership nonfiction
309,4099,The Pragmatic Programmer: From Journeyman to Master,9032,programming computer-science non-fiction technical tech
310,4122,Built to Last: Successful Habits of Visionary Companies,2220,business non-fiction leadership management nonfiction
311,4135,I Like You: Hospitality Under the Influence,2615,humor non-fiction nonfiction cookbooks food
312,4136,Holidays on Ice,943,humor non-fiction short-stories memoir essays
313,4137,Me Talk Pretty One Day,101,humor non-fiction memoir nonfiction essays
314,4138,Naked,344,humor non-fiction memoir nonfiction essays
315,4143,Barrel Fever: Stories and Essays,1923,humor non-fiction essays short-stories fiction
316,4214,Life of Pi,45,fantasy book-club adventure classics contemporary
317,4261,31 Songs,9083,music non-fiction rory-gilmore-reading-challenge essays nonfiction
318,4264,Fever Pitch,3476,fiction sports non-fiction football sport
319,4268,How to Be Good,2193,fiction contemporary humor contemporary-fiction british
320,4271,About a Boy,795,fiction contemporary humor contemporary-fiction british
321,4325,Dreamland ,1789,ya young-adult contemporary romance realistic-fiction
322,4339,Dispatches,8996,non-fiction history war vietnam nonfiction
323,4364,Maximum City: Bombay Lost and Found,9111,india non-fiction travel nonfiction history
324,4373,First They Killed My Father: A Daughter of Cambodia Remembers ,5794,non-fiction memoir history nonfiction cambodia
325,4381,Fahrenheit 451,48,classics fiction science-fiction sci-fi dystopia
326,4395,The Grapes of Wrath,131,classics fiction classic historical-fiction literature
327,4406,East of Eden  ,225,classics fiction classic historical-fiction literature
328,4407,American Gods,167,fantasy fiction urban-fantasy mythology sci-fi-fantasy
329,4473,A Prayer for Owen Meany,325,fiction classics book-club literature contemporary
330,4477,Complications: A Surgeon's Notes on an Imperfect Science,3308,non-fiction nonfiction medical science memoir
331,4507,Sickened,7453,non-fiction memoir memoirs nonfiction psychology
332,4516,Marina,5022,young-adult horror fiction mystery fantasy
333,4530,Olivia Joules And The Overactive Imagination,9513,chick-lit fiction chicklit romance humor
334,4538,The View from Saturday,2985,young-adult fiction newbery childrens realistic-fiction
335,4588,Extremely Loud and Incredibly Close,249,fiction book-club contemporary historical-fiction contemporary-fiction
336,4591,Genome: The Autobiography of a Species in 23 Chapters,5027,science non-fiction biology nonfiction genetics
337,4599, Carter Beats the Devil,8814,fiction historical-fiction mystery historical magic
338,4600,"Moo, Baa, La La La!",4261,picture-books children children-s kids-books childrens-books
339,4625,The Complete Short Stories of Ernest Hemingway,3126,short-stories fiction classics literature hemingway
340,4630,To Have and Have Not ,5704,fiction classics rory-gilmore-reading-challenge literature 1001-books
341,4631,A Moveable Feast,1031,travel hemingway american rory-gilmore-reading-challenge 20th-century
342,4633,Islands in the Stream,9317,fiction classics hemingway literature classic
343,4645,The Snows of Kilimanjaro and Other Stories,3764,fiction classics short-stories literature rory-gilmore-reading-challenge
344,4652,In Our Time,6273,fiction classics short-stories literature hemingway
345,4656,The Fourth Hand,4130,fiction john-irving contemporary default literature
346,4657,The Water-Method Man,9722,fiction john-irving default contemporary novels
347,4659,A Widow for One Year,1936,fiction contemporary john-irving contemporary-fiction literature
348,4660,The 158-Pound Marriage,8735,fiction john-irving novels literary-fiction default
349,4662,The Short Stories of F. Scott Fitzgerald,7409,classics short-stories to-buy fiction default
350,4671,The Great Gatsby,5,classics fiction classic literature school
351,4687,The Cider House Rules,704,fiction historical-fiction classics literary-fiction kindle
352,4692,The Physician,3920,historical-fiction fiction historical history kindle
353,4701,A Spot of Bother,3792,fiction humor contemporary contemporary-fiction book-club
354,4708,The Beautiful and Damned,3255,classics fiction kindle classic literature
355,4796,The Winter of our Discontent,3387,classics fiction classic literature steinbeck
356,4799,Cannery Row ,1161,classics fiction classic literature historical-fiction
357,4806,Longitude,2295,non-fiction science nonfiction history biography
358,4813,1421: The Year China Discovered America,8382,history non-fiction china nonfiction default
359,4820,"Mayflower: A Story of Courage, Community, and War",3570,history non-fiction nonfiction american-history historical
360,4830,Shalimar the Clown,8175,fiction india magical-realism literature historical-fiction
361,4835,Haroun and the Sea of Stories,4468,fantasy fiction to-buy magical-realism young-adult
362,4865,How to Win Friends and Influence People,260,non-fiction self-improvement nonfiction personal-development leadership
363,4866,How to Stop Worrying and Start Living,1750,self-help non-fiction personal-development psychology self-improvement
364,4887,Das Drama des begabten Kindes und die Suche nach dem wahren Selbst: eine Um- und Fortschreibung,9296,psychology non-fiction nonfiction self-help parenting
365,4894,Who Moved My Cheese?,315,non-fiction business self-help nonfiction psychology
366,4898,Blue Ocean Strategy: How to Create Uncontested Market Space and Make Competition Irrelevant,2686,business non-fiction strategy marketing entrepreneurship
367,4900,Heart of Darkness,301,classics fiction classic literature africa
368,4909,Teacher Man,3966,non-fiction memoir biography nonfiction memoirs
